Record ID,Age,Kindly indicate your gender,What is your current marital status?,Educational level completed,Kindly Specify,Number of child dependents in the household below 18 years,Which region do you work in?,What type of facility are you primarily stationed at?,What is your current job role?,Select the unit within the hospital that most closely matches the job that you do,Kindly indicate the professional group you belong to,How many days in the previous month did you have any direct patient contact (touching or speaking in-person)?,What is your current engagement type with the hospital?,For how many years have you been seeing patients as a professional?,"Have you previously worked in a clinical setting during an acute respiratory epidemic or pandemic, for example, H1N1 (2009)?","In a clinical setting, did you personally care for patients with suspected or confirmed infection caused by a novel respiratory pathogen for example, H1N1?",Has a patient with suspected or confirmed COVID-19 attended the hospital in which you work?,Have you personally cared for a patient with suspected or confirmed COVID-19 infection? ,What was your most recent type of contact with a suspected/confirmed COVID-19 case?,I am confident that the hospital where I work can MANAGE CURRENT patient demand related to COVID-19,I am confident that the hospital where I work can CONTINUE TO MANAGE patient demand related to COVID-19 over the next 3 months,"I have received general training for infection, prevention, and control procedures for communicable diseases",I have received sufficient training in the Infection Prevention and Control (IPC)  practices specifically for COVID-19,I am confident in my ability to correctly don and doff personal protective equipment to prevent transmission of COVID-19 to others and myself,"I am confident that I am able to follow recommended procedures related to personal protective equipment (PPE) for COVID-19 e.g. appropriate use and disposal of gloves, apron and fluid resistant surgical mask",I consider that the implementation of protective procedures at work are effective to prevent the spread of COVID-19 in my hospital,Following the IPC recommendations will protect me from becoming ill with COVID-19,Following recommended IPC procedures adds significant additional strain to my workload,"I will always use the recommended personal protective equipment (medical mask, eye protection, gown and gloves) when taking care of patients with suspected or confirmed COVID-19 when I have access to these",There are clear policies and protocols in my hospital for everyone to follow related to IPC procedures for COVID-19,"I can easily access personal protective equipment (PPE) in line with standard infection control precautions, such as gloves, apron and masks, for COVID-19 in the hospital where I work",In my hospital there are dedicated isolation facilities for patients with COVID-19,"I know who to contact if I have trouble with PPE, or if I have a body fluid exposure/ unprotected contact with a confirmed case of COVID-19","The hospital where I work receives good support from national/ regional/municipal/district/assembly/local public health authorities, who provide guidance and training on how to manage COVID-19","Most of my colleagues regularly follow infection, prevention and control measures (for example, regular hand washing, use of personal protective equipment, proper disposal of equipment)","It is expected that in my role as a healthcare professional, I will follow IPC measures",I am encouraged and supported by other staff to apply recommendedIPC measures,I am concerned about the risk to myself of becoming ill with COVID-19,I am concerned about the risk to my family related to COVID-19 because of my job role,I am afraid of looking after patients who are ill with COVID-19,I accept that the risk of getting COVID-19 is part of my job,Whether I get infected with COVID-19 or not is within my control,The health facility where I work has the capacity to manage COVID-19,The management of the health facility where I work are being honest with staff when managing COVID-19,The management of the health facility where I work would act in the best interest of its staff when managing COVID-19
4391,26,Male,Prefer not to say,First Degree,,0,GREATER ACCRA,Private Clinic,Medical Doctor,OPD,,Just about one day during each week,Casual or locum staff,3,No,No,Yes,No,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree
4392,40,Male,"Living with another (Married, Partnership)",First Degree,,6,EASTERN,CHAG Facility,Physician Assistant,OPD,,Almost every day of the month,Fulltime,40,Yes,No,Yes,No,,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
4393,30,Male,Living alone,First Degree,,0,GREATER ACCRA,CHAG Facility,Medical Doctor,Medical Unit,,Almost every day of the month,Fulltime,4,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
4394,33,Female,Living alone,First Degree,,0,ASHANTI,District hospital,Medical Doctor,Medical Unit,,Almost every day of the month,Fulltime,4,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree
4395,25,Female,Living alone,Diploma,,0,EASTERN,District hospital,Allied health professionals,Nutrition/Dietetics,Nutrition Technical Officer,Almost every day of the month,Prefer not to say,1,No,No,Yes,No,,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
4396,29,Male,Living alone,First Degree,,0,ASHANTI,CHAG Facility,Physician Assistant,Medical Unit,,Almost every day of the month,Fulltime,4,No,No,No,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Strongly disagree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree
4397,33,Female,"Living with another (Married, Partnership)",First Degree,,1,EASTERN,Regional hospital,Physician Assistant,Medical Unit,,About one day in the month,Fulltime,9,Unsure,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
4398,38,Female,Living alone,Ph.D./DrPH,,0,ASHANTI,Teaching hospital,Medical Doctor,Surgical Unit,,Almost every day of the month,Fulltime,12,No,No,Yes,No,,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
4399,30,Female,Living alone,First Degree,,0,NORTHERN,Teaching hospital,Medical Doctor,Surgical Unit,,Almost every day of the month,Long-Term Contract (>12mths),4,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Strongly disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
4400,30,Male,"Living with another (Married, Partnership)",First Degree,,1,GREATER ACCRA,Teaching hospital,Medical Doctor,Surgical Unit,,Almost every day of the month,Fulltime,5,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
4401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402,34,Female,"Living with another (Married, Partnership)",Diploma,,3,WESTERN NORTH,District hospital,Physician Assistant,Surgical Unit,,No more than three days during each week,Fulltime,10,No,No,Yes,No,,Somewhat disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somwhat agree
4403,27,Female,Living alone,Other,MbChB,1,BONO,Regional hospital,Medical Doctor,Pediatric,,Almost every day of the month,Prefer not to say,2,Unsure,No,Yes,No,,Strongly disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405,29,Male,Living alone,Diploma,,2,BONO,Health Center (Government),Allied health professionals,Disease Control,Allied health professional council,Almost every day of the month,Fulltime,3,No,No,Yes,No,,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree
4406,29,Male,Living alone,Diploma,,2,BONO,Health Center (Government),Allied health professionals,Disease Control,,Almost every day of the month,Fulltime,3,No,No,Yes,No,,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree
4407,35,Male,"Living with another (Married, Partnership)",First Degree,,3,ASHANTI,CHAG Facility,Medical Doctor,Obstetrics and Gynecology/ Maternity,,Almost every day of the month,Long-Term Contract (>12mths),9,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Strongly agree
4408,28,Female,"Living with another (Married, Partnership)",Diploma,,0,CENTRAL,CHAG Facility,Nurse,Surgical Unit,,Almost every day of the month,Fulltime,4,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
4409,28,Female,Living alone,First Degree,,0,ASHANTI,CHAG Facility,Medical Doctor,OPD,,Almost every day of the month,Part time,3,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree
4410,38,Female,"Living with another (Married, Partnership)",First Degree,,3,GREATER ACCRA,Academic (University) hospital,Physician Assistant,Emergency,,Almost every day of the month,Fulltime,8,Yes,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree
4411,29,Female,Living alone,Ph.D./DrPH,,0,GREATER ACCRA,Teaching hospital,Medical Doctor,Emergency,,Almost every day of the month,Fulltime,5,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Strongly agree
4412,31,Male,Living alone,Ph.D./DrPH,,0,VOLTA,Teaching hospital,Medical Doctor,Obstetrics and Gynecology/ Maternity,,Almost every day of the month,Fulltime,2,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree
4413,31,Male,"Living with another (Married, Partnership)",Diploma,,3,ASHANTI,CHAG Facility,Physician Assistant,Medical Unit,,Almost every day of the month,Fulltime,5,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Somwhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree
4414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4415,31,Male,Living alone,First Degree,,0,UPPER WEST,Regional hospital,Medical Doctor,Medical Unit,,Almost every day of the month,Fulltime,2,No,No,Yes,Yes,Unsure,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree
4416,45,Male,"Living with another (Married, Partnership)",Masters,,2,ASHANTI,CHAG Facility,Medical Doctor,Medical Unit,,Just about one day during each week,Fulltime,6,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Strongly disagree,Strongly disagree,Somwhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree
4417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4418,47,Female,"Living with another (Married, Partnership)",Masters,,1,GREATER ACCRA,Teaching hospital,Physician Assistant,Obstetrics and Gynecology/ Maternity,,Almost every day of the month,Fulltime,21,Yes,No,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somwhat agree,Neither agree nor disagree
4419,47,Male,"Living with another (Married, Partnership)",Ph.D./DrPH,,4,ASHANTI,Teaching hospital,Medical Doctor,Surgical Unit,,Almost every day of the month,Fulltime,20,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree
4420,33,Female,"Living with another (Married, Partnership)",First Degree,,1,ASHANTI,CHAG Facility,Physician Assistant,Medical Unit,,Almost every day of the month,Fulltime,7,No,No,No,No,,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree
4421,41,Male,"Living with another (Married, Partnership)",Ph.D./DrPH,,4,ASHANTI,Teaching hospital,Medical Doctor,Surgical Unit,,Almost every day of the month,Fulltime,15,No,No,Yes,No,,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somwhat agree
4422,40,Male,"Living with another (Married, Partnership)",First Degree,,0,VOLTA,Teaching hospital,Medical Doctor,Medical Unit,,About one day in the month,Long-Term Contract (>12mths),10,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree
4423,28,Female,Prefer not to say,Other,MB.ChB,0,GREATER ACCRA,Private Clinic,Medical Doctor,OPD,,No more than three days during each week,Casual or locum staff,3,No,No,Yes,Yes,Unsure,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somwhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree
4424,30,Male,"Living with another (Married, Partnership)",First Degree,,4,NORTHERN,Teaching hospital,Medical Doctor,Emergency,,Almost every day of the month,Fulltime,4,No,No,Yes,No,,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
4425,30,Male,"Living with another (Married, Partnership)",First Degree,,4,UPPER EAST,District hospital,Medical Doctor,Obstetrics and Gynecology/ Maternity,,Almost every day of the month,Fulltime,2,No,No,No,No,,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree
4426,30,Male,Living alone,Ph.D./DrPH,,0,BONO EAST,Regional hospital,Medical Doctor,Obstetrics and Gynecology/ Maternity,,Almost every day of the month,Fulltime,3,No,No,Yes,Yes,Unsure,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
4427,39,Female,"Living with another (Married, Partnership)",,,2,ASHANTI,Regional hospital,Physician Assistant,Surgical Unit,,Almost every day of the month,Fulltime,9,No,No,Yes,No,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somwhat agree,Strongly disagree,Somewhat disagree,Somwhat agree,Strongly disagree,Strongly disagree
4428,20,Male,Prefer not to say,First Degree,,0,EASTERN,Private Hospital,Medical Doctor,OPD,,Almost every day of the month,Short-term contract (<13mths),3,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Strongly disagree,Somwhat agree,Neither agree nor disagree
4429,28,Female,Living alone,Other,Post graduate,0,GREATER ACCRA,Teaching hospital,Medical Doctor,Pediatric,,Just about one day during each week,Fulltime,2,No,Yes,No,No,,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree
4430,30,Female,"Living with another (Married, Partnership)",Other,MBChB,1,GREATER ACCRA,Teaching hospital,Medical Doctor,Infectious Disease Ward,,Almost every day of the month,Long-Term Contract (>12mths),4,No,No,Yes,Yes,Unsure,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree
4431,31,Male,"Living with another (Married, Partnership)",Other,MBCHB ,1,ASHANTI,Teaching hospital,Medical Doctor,Pediatric,,Almost every day of the month,Prefer not to say,5,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree
4432,41,Male,"Living with another (Married, Partnership)",First Degree,,2,UPPER EAST,CHAG Facility,Medical Doctor,Emergency,,Almost every day of the month,Fulltime,1,Yes,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree
4433,33,Female,Living alone,First Degree,,1,ASHANTI,Private Hospital,Nurse,Emergency,,Almost every day of the month,Fulltime,11,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree
